inx,x,y,z,rx,ry,rz,p,v
1,1.068004,1.578747,0.6945359,13.55903,207.8209,357.843,P01,longdress
2,1.069438,1.577285,0.6950002,14.67673,208.0978,357.9181,P01,longdress
3,1.070998,1.57674,0.6939509,16.64792,208.5086,358.0524,P01,longdress
4,1.073057,1.572979,0.6920727,18.50802,209.5383,358.4474,P01,longdress
5,1.074323,1.569159,0.6902636,20.88417,210.3877,358.9755,P01,longdress
6,1.075139,1.564976,0.6881795,24.13857,211.728,359.5632,P01,longdress
7,1.075192,1.56039,0.6848749,26.69368,212.8018,0.2159694,P01,longdress
8,1.074839,1.555552,0.6822081,27.98081,213.6768,1.046112,P01,longdress
9,1.081859,1.550763,0.6786788,28.99686,214.4627,1.576351,P01,longdress
10,1.081092,1.545722,0.6764264,30.0127,214.9248,1.728815,P01,longdress
11,1.080008,1.54098,0.6751904,31.2955,215.1461,1.743976,P01,longdress
12,1.078572,1.53802,0.6745958,32.27862,215.3022,1.760579,P01,longdress
13,1.075124,1.533603,0.6732969,33.94188,215.28,1.544219,P01,longdress
14,1.070893,1.53194,0.6728488,34.50074,215.1828,1.461513,P01,longdress
15,1.065701,1.53125,0.6737458,34.98471,214.7581,1.130432,P01,longdress
16,1.061205,1.532075,0.6748145,34.82968,214.4664,0.8389713,P01,longdress
17,1.057135,1.532529,0.6758351,34.72565,214.3301,0.5510919,P01,longdress
18,1.047289,1.533494,0.67816,34.44904,213.7896,359.8496,P01,longdress
19,1.038673,1.53407,0.6798469,34.20695,213.3561,359.4131,P01,longdress
20,1.029068,1.534244,0.6821827,34.09805,212.7625,359.0824,P01,longdress
21,1.018396,1.534093,0.6845345,33.9903,211.9079,358.6519,P01,longdress
22,1.006438,1.533615,0.6867652,33.79938,210.9831,358.2856,P01,longdress
23,0.9936532,1.532984,0.6894026,33.3043,209.7543,357.8496,P01,longdress
24,0.9839982,1.532242,0.6915663,32.79725,208.9198,357.5382,P01,longdress
25,0.9690689,1.531241,0.6950111,32.31686,207.8194,357.1655,P01,longdress
26,0.9532239,1.53008,0.6998628,31.63327,206.4778,356.8177,P01,longdress
27,0.936535,1.529181,0.705811,30.68802,204.972,356.5676,P01,longdress
28,0.9202605,1.529342,0.7119442,29.79787,203.6385,356.4848,P01,longdress
29,0.9041687,1.531356,0.7183757,28.92109,202.3468,356.3554,P01,longdress
30,0.8881783,1.535089,0.7239294,28.13621,200.9192,356.1248,P01,longdress
31,0.8778467,1.53774,0.7275264,27.11744,200.3206,356.1249,P01,longdress
32,0.8596841,1.543008,0.7346882,24.29548,199.8227,356.2277,P01,longdress
33,0.8472629,1.547559,0.7403979,22.65831,199.4662,356.0158,P01,longdress
34,0.8367375,1.551733,0.7469118,21.27802,198.9863,355.9366,P01,longdress
35,0.8279411,1.555174,0.7540441,19.70852,198.1898,356.0235,P01,longdress
36,0.8201146,1.558455,0.7612976,18.14102,197.2263,356.0839,P01,longdress
37,0.8130268,1.561526,0.7681131,16.56337,195.9205,356.1574,P01,longdress
38,0.8061949,1.564336,0.7740549,14.83582,194.6742,356.2791,P01,longdress
39,0.8001394,1.566757,0.7794544,13.26789,193.6093,356.2911,P01,longdress
40,0.7942733,1.56886,0.7845549,11.98241,192.6165,356.2473,P01,longdress
41,0.7884338,1.570906,0.7889096,11.11314,191.7188,356.2455,P01,longdress
42,0.7720095,1.575262,0.796921,8.736886,190.1339,356.7234,P01,longdress
43,0.768175,1.576281,0.7985432,8.155447,189.7899,356.8976,P01,longdress
44,0.7642311,1.577587,0.8000382,7.603571,189.4191,356.9273,P01,longdress
45,0.7566389,1.57975,0.8032275,5.891175,188.5299,357.1379,P01,longdress
46,0.7532303,1.580622,0.8047057,5.060413,187.9938,357.347,P01,longdress
47,0.7472761,1.582598,0.8078151,3.777721,187.0251,357.54,P01,longdress
48,0.7438921,1.583334,0.809139,3.590468,186.6161,357.4542,P01,longdress
49,0.7378791,1.585768,0.8106947,2.467891,185.6097,357.4843,P01,longdress
50,0.7357705,1.587245,0.8108935,1.57589,185.1999,357.5009,P01,longdress
51,0.7318317,1.589768,0.8124551,0.3203672,184.6383,357.2841,P01,longdress
52,0.7304059,1.590589,0.8128713,359.5821,184.4556,357.3283,P01,longdress
53,0.7276534,1.591339,0.8136129,358.9821,184.1185,357.4955,P01,longdress
54,0.7268779,1.591396,0.8136728,359.2292,184.0078,357.5834,P01,longdress
55,0.72615,1.59148,0.8135094,359.7675,183.9475,357.5201,P01,longdress
56,0.7260708,1.59105,0.812911,0.738352,183.9818,357.1532,P01,longdress
57,0.7270537,1.591438,0.8106744,1.004705,183.573,357.0596,P01,longdress
58,0.7281713,1.592121,0.8088775,1.407486,183.317,356.9914,P01,longdress
59,0.7318184,1.593284,0.8048494,1.376933,182.4678,356.9139,P01,longdress
60,0.7346749,1.593154,0.8024982,0.6259547,182.1279,356.9207,P01,longdress
61,0.7413332,1.592456,0.7985318,0.5728155,180.6185,356.7216,P01,longdress
62,0.7457008,1.591969,0.7965579,0.7321324,180.1629,356.5756,P01,longdress
63,0.7549448,1.590858,0.7929384,1.274951,179.6294,356.4558,P01,longdress
64,0.758494,1.591013,0.7912269,1.526878,179.5476,356.5953,P01,longdress
65,0.774084,1.592377,0.7861623,1.376776,179.8839,357.5683,P01,longdress
66,0.7791524,1.593351,0.783896,1.117199,180.0072,358.1135,P01,longdress
67,0.7891569,1.594712,0.7792352,0.9347484,179.9235,358.6981,P01,longdress
68,0.794476,1.594465,0.7764834,1.05021,179.7889,358.7621,P01,longdress
69,0.8005489,1.593944,0.7732608,1.212202,179.6671,358.7458,P01,longdress
70,0.8136338,1.591322,0.7660985,1.808168,180.0278,358.6347,P01,longdress
71,0.8284224,1.587133,0.7577606,2.94334,181.2233,358.8066,P01,longdress
72,0.8372259,1.58478,0.7532605,3.501445,181.9117,358.9946,P01,longdress
73,0.8555505,1.580492,0.7442501,4.422829,183.4787,359.2353,P01,longdress
74,0.8661208,1.579074,0.7392908,4.79678,184.4577,359.2743,P01,longdress
75,0.8893746,1.576819,0.7292465,4.70204,187.1235,359.6495,P01,longdress
76,0.9013387,1.57565,0.7238754,4.400922,188.5181,0.01737202,P01,longdress
77,0.9279891,1.573123,0.7132056,3.894037,191.1557,0.5080268,P01,longdress
78,0.9417813,1.572065,0.7078863,4.30538,192.4798,0.6053525,P01,longdress
79,0.9560647,1.571442,0.7027701,4.967093,193.7664,0.6266559,P01,longdress
80,0.9843086,1.573654,0.691548,7.326977,195.3767,0.4395245,P01,longdress
81,0.997776,1.577202,0.6851284,8.652352,195.5452,0.1600889,P01,longdress
82,1.023124,1.585051,0.6730503,9.011459,196.0183,0.329074,P01,longdress
83,1.034195,1.588738,0.6668319,8.275686,196.2026,0.8211328,P01,longdress
84,1.053123,1.593868,0.6561941,6.29367,195.5945,1.911588,P01,longdress
85,1.061388,1.595373,0.6513803,5.69672,195.5805,2.256414,P01,longdress
86,1.074867,1.595049,0.6432379,6.1165,196.6843,2.195566,P01,longdress
87,1.080612,1.593769,0.6398826,7.055836,197.4452,1.985457,P01,longdress
