user,frame,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
31,1,1,1,1,1,1,1,1,1,1,1,1,1,
31,2,1,1,1,1,1,1,1,1,1,1,1,1,
31,3,1,1,1,1,1,1,1,1,1,1,1,1,
31,4,1,1,1,1,1,1,1,1,1,1,1,1,
31,5,1,1,1,1,1,1,1,1,1,1,1,1,
31,6,1,1,1,1,1,1,1,1,1,1,1,1,
31,7,1,1,1,1,1,1,1,1,1,1,1,1,
31,8,1,1,1,1,1,1,1,1,1,1,1,1,
31,9,1,1,1,1,1,1,1,1,1,1,1,1,
31,10,1,1,1,1,1,1,1,1,1,1,1,1,
31,11,1,1,1,1,1,1,1,1,1,1,1,1,
31,12,1,1,1,1,1,1,1,1,1,1,1,1,
31,13,1,1,1,1,1,1,1,1,1,1,1,1,
31,14,1,1,1,1,1,1,1,1,1,1,1,1,
31,15,1,1,1,1,1,1,1,1,1,1,1,1,
31,16,1,1,1,1,1,1,1,1,1,1,1,1,
31,17,1,1,1,1,1,1,1,1,1,1,1,1,
31,18,1,1,1,1,1,1,1,1,1,1,1,1,
31,19,1,1,1,1,1,1,1,1,1,1,1,1,
31,20,1,1,1,1,1,1,1,1,1,1,1,1,
31,21,1,1,1,1,1,1,1,1,1,1,1,1,
31,22,1,1,1,1,1,1,1,1,1,1,1,1,
31,23,1,1,1,1,1,1,1,1,1,1,1,1,
31,24,1,1,1,1,1,1,1,1,1,1,1,1,
31,25,1,1,1,1,1,1,1,1,1,1,1,1,
31,26,1,1,1,1,1,1,1,1,1,1,1,1,
31,27,1,1,1,1,1,1,1,1,1,1,1,1,
31,28,1,1,1,1,1,1,1,1,1,1,1,1,
31,29,1,1,1,1,1,1,1,1,1,1,1,1,
31,30,1,1,1,1,1,1,1,1,1,1,1,1,
31,31,1,1,1,1,1,1,1,1,1,1,1,1,
31,32,1,1,1,1,1,1,1,1,1,1,1,1,
31,33,1,1,1,1,1,1,1,1,1,1,1,1,
31,34,1,1,1,1,1,1,1,1,1,1,1,1,
31,35,1,1,1,1,1,1,1,1,1,1,1,1,
31,36,1,1,1,1,1,1,1,1,1,1,1,1,
31,37,1,1,1,1,1,1,1,1,1,1,1,1,
31,38,1,1,1,1,1,1,1,1,1,1,1,1,
31,39,1,1,1,1,1,1,1,1,1,1,1,1,
31,40,1,1,1,1,1,1,1,1,1,1,1,1,
31,41,1,1,1,1,1,1,1,1,1,1,1,1,
31,42,1,1,1,1,1,1,1,1,1,1,1,1,
31,43,1,1,1,1,1,1,1,1,1,1,1,1,
31,44,1,1,1,1,1,1,1,1,1,1,1,1,
31,45,1,1,1,1,1,1,1,1,1,1,1,1,
31,46,1,1,1,1,1,1,1,1,1,1,1,1,
31,47,1,1,1,1,1,1,1,1,1,1,1,1,
31,48,1,1,1,1,1,1,1,1,1,1,1,1,
31,49,1,1,1,1,1,1,1,1,1,1,1,1,
31,50,1,1,1,1,1,1,1,1,1,1,1,1,
31,51,1,1,1,1,1,1,1,1,1,1,1,1,
31,52,1,1,1,1,1,1,1,1,1,1,1,1,
31,53,1,1,1,1,1,1,1,1,1,1,1,1,
31,54,1,1,1,1,1,1,1,1,1,1,1,1,
